,SP,Hectar,D2021,D2023,D2025,D2027,D2029,D2031,D2033,D2035,D2037,D2039,D2041,D2043,D2045,D2047,D2049,D2051,D2053,D2055,SP_Name
396,127,0,29.383011523886857,29.395054524595288,29.397676414863998,29.3988982557469,29.39924101324153,29.399373518195034,29.399414997121653,29.399429872796496,29.399434753798072,29.399436450370608,29.399437018327415,29.399437213159434,29.399437278940578,29.39943730138102,29.399437308984982,29.399437311572886,29.399437312451145,29.39943731274975,EUGERI
397,127,0,18.017111439827488,21.670322554715998,24.79257149993894,27.097229207806524,28.410670300974708,29.015126455264163,29.260235331588607,29.35080963797187,29.382740431501134,29.393742181787967,29.39749986455932,29.39877874073852,29.39921353181553,29.39936127826947,29.39941147986939,29.399428536030904,29.39943433096476,29.399436299786835,EUGERI
398,127,0,20.307773733077582,23.874410905425407,26.440568414819797,28.065156749129336,28.867395650779535,29.202508414973842,29.33006753985261,29.375502801886437,29.391263951538914,29.396654412537885,29.398491336437445,29.399115813087604,29.399328081837876,29.399400199144136,29.3994247037303,29.39943302884921,29.39943585741107,29.399436818396037,EUGERI
399,128,1,29.76121336623042,29.42420672395847,29.56659249741421,29.450680065659398,29.419163349538845,29.42124251026347,29.41449469651926,29.411075158591117,29.410922025792722,29.41058308148208,29.410267118398497,29.41022306209505,29.410208957251537,29.41018455007046,29.410177853650843,29.41017715493316,29.41017554354107,29.410174789390553,EUGES2
400,128,0,22.871575480419363,25.902362142568695,27.71175439808234,28.71202631561792,29.143697699721333,29.310845095851008,29.371286372231843,29.39228120053578,29.399469689801446,29.401912394448708,29.402741177261188,29.403022000925095,29.40311716123156,29.403149396985782,29.40316031822012,29.403164017841284,29.40316527118489,29.40316569576856,EUGES2
401,129,0,16.511403255278466,20.0086372436294,23.330143559753722,26.10934467893375,27.89577419875177,28.7926031413151,29.178385018118494,29.326210096787953,29.379117716746066,29.39742527516158,29.403664456302206,29.40577887660975,29.406493842738058,29.406735444979798,29.406817062159533,29.406844632560894,29.40685394535756,29.4068570910847,EUGESC
402,130,1,19.553476956023303,22.970057284009382,25.738115061341198,27.66527586363616,28.6810711444704,29.133712081701248,29.313975283391237,29.37993717929396,29.403233906367404,29.4112846545505,29.414053388678063,29.415001245262438,29.415325890491967,29.415436925953966,29.415474929529996,29.415487928119216,29.415492376188276,29.41549389773416,EUGESD
403,131,0,5.723800846066943,8.909155358897532,11.434072515688218,13.587361714613015,16.087906121694566,19.200884011512258,22.600450635354804,25.58766028527871,27.597100258486886,28.65844240437718,29.12914517761658,29.313001026385585,29.379367274187974,29.402355367966898,29.410166879493907,29.41280152999649,29.41368755215066,29.413985244077583,EUGESP
404,131,0,21.48899629261379,24.907579318140456,27.13300052909989,28.431996695866047,29.03628598241679,29.277896926896315,29.3670365321727,29.39811886845522,29.408736460545914,29.412319270790793,29.413525615089576,29.413930811978613,29.41406695386194,29.4141126645808,29.41412801723991,29.414133172230233,29.414134903437677,29.41413548475561,EUGESP
405,132,0,24.81996642307253,27.186600688026505,28.42249185593385,29.03911455363942,29.280990011220556,29.3706197469577,29.401726131468692,29.412347063559718,29.4159163557782,29.417115875157993,29.41751732105252,29.417651873825186,29.41769690147823,29.417711984051177,29.417717032463827,29.41771872310541,29.417719289071762,29.417719478585656,EUGESU
406,132,1,29.060619115243686,29.229566329231062,29.36388914932771,29.39834268319578,29.413712666495655,29.418113217012493,29.419849069892464,29.420379459293965,29.420576764370274,29.420639616864445,29.420662214375994,29.420669602251223,29.42067220405922,29.42067306841204,29.42067336898498,29.42067346982831,29.42067350462475,29.42067351637007,EUGESU
407,133,1,16.12244268019041,19.2759300737649,22.49834425187708,25.436185984217996,27.487614947779093,28.596575661743415,29.10419256052328,29.307811619053183,29.38288402356387,29.409350491379268,29.41847655596529,29.421597558841025,29.42266094542154,29.42302296138908,29.423146122120237,29.423188025474943,29.42320227930654,29.423207128455456,EUGETU
408,133,0,26.464056314844214,28.083257222563358,28.86765490543838,29.222044125340364,29.351058781438233,29.397562004311098,29.41326159954011,29.418596764525425,29.42037239579806,29.420968492723986,29.42116690985703,29.4212333110661,29.421255440274148,29.421262836749985,29.421265303649896,29.421266127691172,29.421266402644598,29.421266494461303,EUGETU
409,134,0,19.27001992301109,22.92554491497799,25.77639890271547,27.704633529299365,28.71921152265749,29.160550889176807,29.33187585121047,29.393091633621335,29.41413723746717,29.42122241151033,29.4235924330194,29.424382144434666,29.424645201650428,29.42473275038479,29.424761895525368,29.424771594843985,29.42477482335019,29.424775897817135,GANUSN
410,134,0,20.990758004880423,24.427888808061542,26.809902651682243,28.279215790469443,28.97724385726717,29.26261719598749,29.368775760393845,29.405836772520797,29.418439124272023,29.422662184740524,29.4240724248802,29.424542023382536,29.424698419458405,29.42475046537598,29.424767791359333,29.424773557236865,29.42477547646944,29.424776115198185,GANUSN
411,134,0,21.415247650941687,24.79029638524659,27.048379137638356,28.40086408461242,29.029457492902203,29.2826109271363,29.375865586182083,29.4082639585401,29.419254923537558,29.42293486096288,29.424163266437855,29.424572279098424,29.424708489007948,29.424753817425813,29.4247689069185,29.424773928555094,29.42477560004772,29.42477615633009,GANUSN
412,134,1,29.547072369395476,29.11958422922332,29.514656279002867,29.43659420002047,29.429322572280867,29.432453157478708,29.427234108354316,29.42608239958773,29.426199175620017,29.42587857726308,29.42574653189968,29.425743593989598,29.42572643986282,29.425713556844364,29.425712212707527,29.425711450325323,29.42571041097379,29.42571017925268,GANUSN
413,134,1,27.311296911045023,28.39651446120739,29.015518518747054,29.278972980996844,29.37334024720988,29.407900380303715,29.419576039321655,29.42363897132477,29.42500223131417,29.42547079535864,29.42562848824732,29.425682430319924,29.425700638690184,29.425706850509847,29.42570895166007,29.4257096672616,29.425709909639775,29.425709992098508,GANUSN
414,135,1,15.415091328448007,18.397255129222316,21.575915484897372,24.677729140449053,27.015813546104514,28.362395251806824,29.006624310023454,29.273696944152903,29.37390852787124,29.409523908251494,29.421818559330656,29.42601686085351,29.427442763902768,29.427926570638082,29.428090544034262,29.42814613135742,29.4281649677231,29.428171352296427,GARCAT
415,136,1,29.776373853085005,29.21773630578189,29.593558893872206,29.464281099617516,29.439301599121574,29.44233151848564,29.434392678895463,29.431438277196836,29.431412775030445,29.430978950054904,29.430681442825907,29.4306557836953,29.430636168268588,29.43061162443884,29.430606726570268,29.43060588168903,29.430604154042385,29.4306035399932,GARCBA
416,137,1,29.1385583251025,28.94600687755343,29.129505301993827,29.372669144004238,29.399912801308155,29.425001939363067,29.429376295688975,29.4320270626046,29.432597269256412,29.432881324051497,29.43295159912016,29.43298252787849,29.43299095035911,29.43299436141453,29.432995353934455,29.432995733748314,29.432995849446314,29.432995892032853,GARCEU
417,138,0,18.38091352391483,21.998726367935728,25.034179334283316,27.270457702938,28.518866987808394,29.086903363159408,29.313901123643017,29.396031509567536,29.424306020910798,29.433766106425203,29.436900975304873,29.437933804488274,29.43827388185059,29.438385704093854,29.438422488727287,29.43843458254513,29.438438560105514,29.438439867894303,GARCMA
418,138,0,17.49445313137327,21.11272056976034,24.33133008543466,26.810179225170405,28.286309723513476,28.98758691609506,29.27623991106617,29.38278608501019,29.41981879307701,29.432274143852474,29.436408134829623,29.43777154220104,29.43822048704927,29.43836814577749,29.438416713950183,29.438432683745727,29.438437935667697,29.438439662569433,GARCMA
419,139,0,16.954024675428478,20.520512704932866,23.815521751863635,26.459047258091324,28.102588007479184,28.90871363972315,29.247972621741884,29.37498252188161,29.419402017548176,29.43436900746931,29.43933079466727,29.440963710500633,29.441499872528137,29.441675709197565,29.441733368602097,29.441752270843523,29.44175846804547,29.441760499602736,GARCNE
420,140,0,2.9318704024315565,6.197104901078884,9.297994221895856,11.712049216099928,13.871939341741399,16.45676024617305,19.637584056672203,23.025456039217563,25.911517927173023,27.796331797977377,28.77128896912063,29.195793661009926,29.358411126490846,29.415950841245948,29.435430299545803,29.441889149612262,29.444011364278,29.444706346093746,GARCNI
421,141,0,17.289480234840713,20.888079577237054,24.137140515649232,26.68202729809176,28.224346510250626,28.966868786183948,29.274969199058592,29.389011941332452,29.42857619280683,29.441811074770218,29.446171546386644,29.44759745131499,29.448062833860398,29.448214504973265,29.448263940170357,29.44828004568334,29.44828529395367,29.448287003793894,GARCPA
422,141,0,20.60439996385537,24.08354644957217,26.583732317879566,28.173178893300452,28.945850694007248,29.266519179575024,29.386085226078894,29.42756788738493,29.441481905498648,29.446062473868157,29.44756214918588,29.448051240625656,29.448210748486087,29.448262710355465,29.448279646496328,29.44828516348532,29.448286961391005,29.448287547099454,GARCPA
